タイトル,アーティスト,url,開始時刻,終了時刻,非表示,memo,upload_date
カノープス,ナユタン星人,https://www.youtube.com/watch?v=2ir-Jno9FIs,8:25,676,0,,2023/02/25
雨とカプチーノ,ヨルシカ,https://www.youtube.com/watch?v=2ir-Jno9FIs,20:06,1476,0,,2023/02/25
なまえのないうた,DATEKEN,https://www.youtube.com/watch?v=2ir-Jno9FIs,43:09,2847,0,,2023/02/25
異星にいこうね,いよわ,https://www.youtube.com/watch?v=2ir-Jno9FIs,52:23,3308,0,,2023/02/25
ヒト(リ)ゴト,KEI,https://www.youtube.com/watch?v=2ir-Jno9FIs,1:06:53,4274,0,,2023/02/25
帝国少女,Omoi,https://www.youtube.com/watch?v=2ir-Jno9FIs,1:21:25,5137,0,,2023/02/25
だいしきゅーだいしゅき,femme fatale,https://www.youtube.com/watch?v=zlw07ay1TOE,21:10,1479,0,,2023/03/04
参月の雨,えこ。,https://www.youtube.com/watch?v=zlw07ay1TOE,49:59,3275,0,,2023/03/04
ロミオとシンデレラ,doriko,https://www.youtube.com/watch?v=zlw07ay1TOE,1:04:46,4161,0,,2023/03/04
39みゅーじっく！,みきとP,https://www.youtube.com/watch?v=w3_0vr4f8-0,3:50,492,0,,2023/03/11
Best Friend,Kiroro,https://www.youtube.com/watch?v=w3_0vr4f8-0,11:57,996,0,,2023/03/11
変わらないもの,奥華子,https://www.youtube.com/watch?v=w3_0vr4f8-0,21:43,1583,0,,2023/03/11
桜ノ雨,halyosy,https://www.youtube.com/watch?v=w3_0vr4f8-0,30:42,2233,0,,2023/03/11
手紙 ~拝啓 十五の君へ~,アンジェラ・アキ,https://www.youtube.com/watch?v=w3_0vr4f8-0,44:12,2957,0,,2023/03/11
SENTIMENTAL StepS,μ’s,https://www.youtube.com/watch?v=w3_0vr4f8-0,58:43,3758,0,,2023/03/11
愛してるばんざーい！,μ’s,https://www.youtube.com/watch?v=w3_0vr4f8-0,1:05:49,4243,0,,2023/03/11
For フルーツバスケット,岡崎律子,https://www.youtube.com/watch?v=GoppeuZwpi4,7:02,674,0,,2023/03/18
インザバックルーム,syudou,https://www.youtube.com/watch?v=GoppeuZwpi4,17:02,1210,0,,2023/03/18
ループ,坂本真綾,https://www.youtube.com/watch?v=GoppeuZwpi4,24:05,1766,0,,2023/03/18
感情ディシーブ,ろーある,https://www.youtube.com/watch?v=GoppeuZwpi4,33:00,2100,0,,2023/03/18
回る空うさぎ,Orangestar,https://www.youtube.com/watch?v=GoppeuZwpi4,38:17,2471,0,,2023/03/18
テレキャスタービーボーイ,すりぃ,https://www.youtube.com/watch?v=GoppeuZwpi4,48:10,3054,0,,2023/03/18
心拍数#0822,蝶々P,https://www.youtube.com/watch?v=GoppeuZwpi4,58:04,3791,0,,2023/03/18
あわよくば君の眷属になりたいな,Peg,https://www.youtube.com/watch?v=GoppeuZwpi4,1:10:11,4392,0,,2023/03/18
Just be Friends,Dixie Flatline,https://www.youtube.com/watch?v=GoppeuZwpi4,1:19:19,5057,0,,2023/03/18
自分REST@RT,765PRO ALLSTARS,https://www.youtube.com/watch?v=OH6tsAukoiE,8:20,843,0,,2023/03/25
神のまにまに,れるりり,https://www.youtube.com/watch?v=OH6tsAukoiE,19:03,1393,0,,2023/03/25
ODDS&ENDS,ryo,https://www.youtube.com/watch?v=OH6tsAukoiE,33:51,2360,0,,2023/03/25
いーあーるふぁんくらぶ,みきとP,https://www.youtube.com/watch?v=OH6tsAukoiE,44:11,2886,0,,2023/03/25
それがあなたの幸せとしても,Heavenz,https://www.youtube.com/watch?v=OH6tsAukoiE,58:50,3795,0,,2023/03/25
Let's go!スマイルプリキュア!,池田彩,https://www.youtube.com/watch?v=QKMSBDW2kGQ,3:04,396,0,,2023/03/30
イェイ!イェイ!イェイ!,吉田仁美,https://www.youtube.com/watch?v=QKMSBDW2kGQ,16:30,1216,0,,2023/03/30
Happy Go Lucky! ドキドキ!プリキュア,黒沢ともよ,https://www.youtube.com/watch?v=QKMSBDW2kGQ,38:11,2492,0,,2023/03/30
この空の向こう,吉田 仁美,https://www.youtube.com/watch?v=QKMSBDW2kGQ,54:30,3500,0,,2023/03/30
crack,keeno,https://www.youtube.com/watch?v=rbZa39-RF8U,7:52,738,0,,2023/04/08
ロウワー,ぬゆり,https://www.youtube.com/watch?v=rbZa39-RF8U,16:44,1231,0,,2023/04/08
雨とカプチーノ,ヨルシカ,https://www.youtube.com/watch?v=rbZa39-RF8U,26:25,1855,0,,2023/04/08
ねむるまち,くじら,https://www.youtube.com/watch?v=rbZa39-RF8U,36:05,2361,0,,2023/04/08
乾涸びたバスひとつ,米津玄師,https://www.youtube.com/watch?v=rbZa39-RF8U,46:46,3104,0,,2023/04/08
僕たちが恋をする理由,坂本真綾,https://www.youtube.com/watch?v=rbZa39-RF8U,1:01:04,3997,0,,2023/04/08
ばかじゃないのに,ずっと真夜中でいいのに。,https://www.youtube.com/watch?v=uXSnzUzeWQI,8:27,761,0,,2023/04/15
可愛くてごめん,HoneyWorks,https://www.youtube.com/watch?v=uXSnzUzeWQI,23:41,1638,0,,2023/04/15
だいしきゅーだいしゅき,femmefatale,https://www.youtube.com/watch?v=uXSnzUzeWQI,34:00,2250,0,,2023/04/15
おくすり飲んで寝よう,もちうつね,https://www.youtube.com/watch?v=Bu53qhYOKLU,6:19,568,0,,2023/04/22
逆光,坂本真綾,https://www.youtube.com/watch?v=Bu53qhYOKLU,12:48,1052,0,,2023/04/22
ご教示ください？,もちうつね,https://www.youtube.com/watch?v=Bu53qhYOKLU,23:40,1562,0,,2023/04/22
きゅうくらりん,いよわ,https://www.youtube.com/watch?v=Bu53qhYOKLU,34:40,2294,0,,2023/04/22
トンデモワンダーズ,sasakure.UK,https://www.youtube.com/watch?v=Bu53qhYOKLU,55:25,3518,0,,2023/04/22
パラレルラルラ,夏代孝明,https://www.youtube.com/watch?v=NhvjJgCFPGs,11:57,871,0,,2023/05/06
阿修羅ちゃん,Ado,https://www.youtube.com/watch?v=NhvjJgCFPGs,28:20,1890,0,,2023/05/06
地球最後の告白を,kemu,https://www.youtube.com/watch?v=NhvjJgCFPGs,35:17,2369,0,,2023/05/06
強風オールバック,Yukopi,https://www.youtube.com/watch?v=NhvjJgCFPGs,54:57,3420,0,,2023/05/06
少女レイ,みきとP,https://www.youtube.com/watch?v=NhvjJgCFPGs,1:00:22,3910,0,,2023/05/06
空耳ケーキ,Oranges＆Lemons,https://www.youtube.com/watch?v=JCwPdSxm9wg,7:07,656,0,,2023/05/13
ラヴィ,すりぃ,https://www.youtube.com/watch?v=JCwPdSxm9wg,28:04,1863,0,,2023/05/13
INTERNET YAMERO,Aiobahn,https://www.youtube.com/watch?v=JCwPdSxm9wg,38:32,2556,0,,2023/05/13
青空のラプソディ,fhāna,https://www.youtube.com/watch?v=JCwPdSxm9wg,48:35,3187,0,,2023/05/13
怪物,YOASOBI,https://www.youtube.com/watch?v=Hdn6RZn-EqM,7:28,655,0,,2023/05/20
アイドル,YOASOBI,https://www.youtube.com/watch?v=Hdn6RZn-EqM,19:14,1366,0,,2023/05/20
女々しくて,ゴールデンボンバー,https://www.youtube.com/watch?v=Hdn6RZn-EqM,34:52,2342,0,,2023/05/20
花の塔,さユり,https://www.youtube.com/watch?v=Hdn6RZn-EqM,50:27,3303,0,,2023/05/20
ハッピーシンセサイザ,EasyPop,https://www.youtube.com/watch?v=Hdn6RZn-EqM,1:01:51,3944,0,,2023/05/20
セツナトリップ,LastNote,https://www.youtube.com/watch?v=Hdn6RZn-EqM,1:11:30,4537,0,,2023/05/20
逆光,坂本真綾,https://www.youtube.com/watch?v=Hdn6RZn-EqM,1:19:10,5034,0,,2023/05/20
神のまにまに,れるりり,https://www.youtube.com/watch?v=lXoUSTPlhTQ,13:54,1087,0,,2023/06/03
パラレルラルラ,夏代孝明,https://www.youtube.com/watch?v=lXoUSTPlhTQ,22:24,1518,0,,2023/06/03
青空のラプソディ,fhāna,https://www.youtube.com/watch?v=lXoUSTPlhTQ,35:13,2385,0,,2023/06/03
39みゅーじっく！,みきとP,https://www.youtube.com/watch?v=lXoUSTPlhTQ,43:22,2863,0,,2023/06/03
約束をしよう,supercell,https://www.youtube.com/watch?v=lXoUSTPlhTQ,56:20,3576,0,,2023/06/03
だから僕は音楽を辞めた,ヨルシカ,https://www.youtube.com/watch?v=lXoUSTPlhTQ,1:07:31,4293,0,,2023/06/03
ビターチョコデコレーション,syudou,https://www.youtube.com/watch?v=lXoUSTPlhTQ,1:17:27,4843,0,,2023/06/03
サラマンダー,DECO*27,https://www.youtube.com/watch?v=r3vq05DkDIY,8:59,693,0,,2023/06/09
Little Traveler,ジミーサムＰ,https://www.youtube.com/watch?v=r3vq05DkDIY,19:46,1469,0,,2023/06/09
怪物さん,平井堅feat.あいみょん,https://www.youtube.com/watch?v=r3vq05DkDIY,29:04,1990,0,,2023/06/09
Fire◎Flower,halyosy,https://www.youtube.com/watch?v=r3vq05DkDIY,55:28,3587,0,,2023/06/09
エンドレス・サマー,夢見るP,https://www.youtube.com/watch?v=r3vq05DkDIY,1:13:01,4638,0,,2023/06/09
色彩,坂本真綾,https://www.youtube.com/watch?v=r3vq05DkDIY,1:24:00,5310,0,,2023/06/09
とても素敵な六月でした,Eight,https://www.youtube.com/watch?v=M43OS-k6BSY,12:58,1060,0,,2023/06/17
ミュージック・アワー,ポルノグラフィティ,https://www.youtube.com/watch?v=M43OS-k6BSY,25:26,1796,0,,2023/06/17
キライ・キライ・ジガヒダイ！,和田たけあき,https://www.youtube.com/watch?v=M43OS-k6BSY,34:38,2291,0,,2023/06/17
キュートなカノジョ,syudou,https://www.youtube.com/watch?v=M43OS-k6BSY,49:33,3104,0,,2023/06/17
神っぽいな,ピノキオピー,https://www.youtube.com/watch?v=M43OS-k6BSY,56:26,3588,0,,2023/06/17
青空のラプソディ,fhāna,https://www.youtube.com/watch?v=W-aVIwE685I,4:24,537,0,,2023/06/24
flos,R Sound Design,https://www.youtube.com/watch?v=W-aVIwE685I,13:26,1076,0,,2023/06/24
文学少年の憂鬱,ナノウ,https://www.youtube.com/watch?v=W-aVIwE685I,18:02,1447,0,,2023/06/24
ニア,夏代孝明,https://www.youtube.com/watch?v=W-aVIwE685I,30:39,2084,0,,2023/06/24
きゅうくらりん,いよわ,https://www.youtube.com/watch?v=W-aVIwE685I,34:46,2300,0,,2023/06/24
カムパネルラ,ささくれP,https://www.youtube.com/watch?v=W-aVIwE685I,46:36,3048,0,,2023/06/24
君の知らない物語,supercell,https://www.youtube.com/watch?v=MY2VhXayeBw,12:42,1098,0,,2023/07/08
惑星ループ,ナユタン星人,https://www.youtube.com/watch?v=MY2VhXayeBw,27:34,1844,0,,2023/07/08
星座になれたら,結束バンド,https://www.youtube.com/watch?v=MY2VhXayeBw,33:49,2283,0,,2023/07/08
オリオンをなぞる,UNISONSQAREGARDEN,https://www.youtube.com/watch?v=MY2VhXayeBw,56:45,3667,0,,2023/07/08
天体観測,BUMP OF CHICKEN,https://www.youtube.com/watch?v=MY2VhXayeBw,1:11:11,4530,0,,2023/07/08
君の脈で踊りたかった,ピコン,https://www.youtube.com/watch?v=SIjIxjaTx4A,11:20,920,0,,2023/07/15
未完成人間,YM,https://www.youtube.com/watch?v=SIjIxjaTx4A,35:15,2339,0,,2023/07/15
地球最後の告白を,kemu,https://www.youtube.com/watch?v=SIjIxjaTx4A,46:00,3023,0,,2023/07/15
夏色えがおで1，2，Jump!,μ's,https://www.youtube.com/watch?v=SIjIxjaTx4A,58:22,3769,0,,2023/07/15
夏祭り,White berry,https://www.youtube.com/watch?v=SIjIxjaTx4A,1:21:05,5088,0,,2023/07/15
ヘッドフォンアクター,じん,https://www.youtube.com/watch?v=3V3Crlunr1o,3:46,437,0,,2023/07/22
快晴,Orangestar,https://www.youtube.com/watch?v=3V3Crlunr1o,10:31,893,0,,2023/07/22
カノープス,ナユタン星人,https://www.youtube.com/watch?v=3V3Crlunr1o,19:46,1357,0,,2023/07/22
little traveler,ジミーサムP,https://www.youtube.com/watch?v=3V3Crlunr1o,23:33,1695,0,,2023/07/22
クーネル・エンゲイザー,電‡鯨,https://www.youtube.com/watch?v=3V3Crlunr1o,30:43,2070,0,,2023/07/22
＊ハロー、プラネット。,sasakure.UK,https://www.youtube.com/watch?v=3V3Crlunr1o,37:18,2537,0,,2023/07/22
少女レイ,みきとP,https://www.youtube.com/watch?v=HvXwG5WbLmk,23:03,1671,0,,2023/08/05
ご教示ください？,もちうつね,https://www.youtube.com/watch?v=HvXwG5WbLmk,35:55,2297,0,,2023/08/05
愛されなくても君がいる,ピノキオピー,https://www.youtube.com/watch?v=HvXwG5WbLmk,59:06,3800,0,,2023/08/05
チュルリラ・チュルリラ・ダッダッダ！,和田たけあき,https://www.youtube.com/watch?v=HvXwG5WbLmk,1:14:32,4665,0,,2023/08/05
ツギハギスタッカート,とあ,https://www.youtube.com/watch?v=HvXwG5WbLmk,1:22:37,5200,0,,2023/08/05
ニア,夏代孝明,https://www.youtube.com/watch?v=HvXwG5WbLmk,1:37:26,6090,0,,2023/08/05
君も悪い人でよかった,ピノキオピー,https://www.youtube.com/watch?v=N6Z0TLhbtGs,14:15,1239,0,,2023/08/12
全力☆Summer!,angela,https://www.youtube.com/watch?v=N6Z0TLhbtGs,24:46,1694,1,(配信グルってたみたいで前奏と途中切れてます…),2023/08/12
快晴,Orangestar,https://www.youtube.com/watch?v=N6Z0TLhbtGs,34:37,2337,0,,2023/08/12
てらてら,和田たけあき,https://www.youtube.com/watch?v=N6Z0TLhbtGs,46:41,2996,0,,2023/08/12
ももいろの鍵,いよわ,https://www.youtube.com/watch?v=N6Z0TLhbtGs,53:20,3401,0,,2023/08/12
君が飛び降りるのなら,Omoi,https://www.youtube.com/watch?v=N6Z0TLhbtGs,1:03:37,3983,0,,2023/08/12
色彩,坂本真綾,https://www.youtube.com/watch?v=N6Z0TLhbtGs,1:11:50,4579,0,,2023/08/12
霽れを待つ,Orangestar,https://www.youtube.com/watch?v=3nF5kjf-EE4,15:14,1159,0,,2023/08/19
フロムトーキョー,夏代孝明,https://www.youtube.com/watch?v=3nF5kjf-EE4,27:13,1799,0,,2023/08/19
アイドル,YOASOBI,https://www.youtube.com/watch?v=3nF5kjf-EE4,44:03,2855,0,,2023/08/19
フィクションブルー,ayase,https://www.youtube.com/watch?v=3nF5kjf-EE4,54:52,3501,0,,2023/08/19
カゲロウデイズ,じん,https://www.youtube.com/watch?v=3nF5kjf-EE4,1:09:51,4423,0,,2023/08/19
星座になれたら,結束バンド,https://www.youtube.com/watch?v=3nF5kjf-EE4,1:18:46,4980,0,,2023/08/19
八月、某、月明かり,ヨルシカ,https://www.youtube.com/watch?v=3nF5kjf-EE4,1:28:39,5595,0,,2023/08/19
エンドレス・サマー,夢見るP,https://www.youtube.com/watch?v=3nF5kjf-EE4,1:36:58,6053,0,,2023/08/19
パラレルラルラ,夏代孝明,https://www.youtube.com/watch?v=3nF5kjf-EE4,1:50:02,6756,0,,2023/08/19
あの夏が飽和する,カンザキイオリ,https://www.youtube.com/watch?v=15dOWMMwNqY,7:23,813,0,,2023/09/02
わたしのアール,和田たけあき,https://www.youtube.com/watch?v=15dOWMMwNqY,19:33,1386,0,,2023/09/02
ラストリゾート,ayase,https://www.youtube.com/watch?v=15dOWMMwNqY,26:50,1799,0,,2023/09/02
ジェヘナ,wotaku,https://www.youtube.com/watch?v=15dOWMMwNqY,33:08,2233,0,,2023/09/02
少女レイ,みきとP,https://www.youtube.com/watch?v=15dOWMMwNqY,40:17,2705,0,,2023/09/02
それがあなたの幸せとしても,Heavenz,https://www.youtube.com/watch?v=15dOWMMwNqY,52:34,3420,0,,2023/09/02
君が飛び降りるのなら,Omoi,https://www.youtube.com/watch?v=15dOWMMwNqY,1:05:00,4066,0,,2023/09/02
フロントメモリー,神聖かまってちゃん,https://www.youtube.com/watch?v=GM-OQx8ZE7w,19:23,1401,0,,2023/09/09
Overdose,なとり,https://www.youtube.com/watch?v=GM-OQx8ZE7w,29:41,1971,0,,2023/09/09
帝国少女,R Sound Design,https://www.youtube.com/watch?v=GM-OQx8ZE7w,43:33,2866,0,,2023/09/09
失楽ペトリ,ナナホシ管弦楽団,https://www.youtube.com/watch?v=GM-OQx8ZE7w,1:00:41,3827,0,,2023/09/09
深海シティアンダーグラウンド,田中B,https://www.youtube.com/watch?v=GM-OQx8ZE7w,1:32:00,5796,0,,2023/09/09
IMAWANOKIWA,いよわ,https://www.youtube.com/watch?v=0stzHX1nvvE,11:37,950,0,,2023/09/15
幽霊東京,ayase,https://www.youtube.com/watch?v=0stzHX1nvvE,28:02,1882,0,,2023/09/15
きゅうくらりん,いよわ,https://www.youtube.com/watch?v=0stzHX1nvvE,35:16,2328,0,,2023/09/15
glow,keeno,https://www.youtube.com/watch?v=0stzHX1nvvE,48:01,3162,0,,2023/09/15
フロムトーキョー,夏代孝明,https://www.youtube.com/watch?v=0stzHX1nvvE,57:31,3616,0,,2023/09/15
繰り返し一粒,猫虫,https://www.youtube.com/watch?v=0stzHX1nvvE,1:05:30,4179,0,,2023/09/15
ラグトレイン,稲葉曇,https://www.youtube.com/watch?v=0stzHX1nvvE,1:17:46,4917,0,,2023/09/15
心拍数#0822,蝶々P,https://www.youtube.com/watch?v=0stzHX1nvvE,1:30:58,5764,0,,2023/09/15
怪物,YOASOBI,https://www.youtube.com/watch?v=0stzHX1nvvE,1:50:34,6842,0,,2023/09/15
ばかじゃないのに,ずっと真夜中でいいのに。,https://www.youtube.com/watch?v=0stzHX1nvvE,1:57:45,7319,0,,2023/09/15
天樂-双響-,ゆうゆ,https://www.youtube.com/watch?v=8_9PQhcSt_Q,7:21,721,0,,2023/09/23
幽霊東京,ayase,https://www.youtube.com/watch?v=8_9PQhcSt_Q,21:46,1507,0,,2023/09/23
孤独の果て,光収容,https://www.youtube.com/watch?v=8_9PQhcSt_Q,26:19,1841,0,,2023/09/23
ねぇ、どろどろさん,YASUHIRO,https://www.youtube.com/watch?v=8_9PQhcSt_Q,38:36,2567,0,,2023/09/23
ディカディズム,ぬゆり,https://www.youtube.com/watch?v=8_9PQhcSt_Q,48:24,3131,0,,2023/09/23
ロケットサイダー,ナユタン星人,https://www.youtube.com/watch?v=8_9PQhcSt_Q,1:02:00,3908,0,,2023/09/23
快晴,Orangestar,https://www.youtube.com/watch?v=8_9PQhcSt_Q,1:09:16,4418,0,,2023/09/23
回る空うさぎ,Orangestar,https://www.youtube.com/watch?v=_5PISzeRD2Q,7:29,623,0,,2023/09/30
ムーンライト伝説,DALI,https://www.youtube.com/watch?v=_5PISzeRD2Q,18:06,1257,0,,2023/09/30
ラヴィット,ピノキオピー,https://www.youtube.com/watch?v=_5PISzeRD2Q,29:13,1970,0,,2023/09/30
月のワルツ,諌山実生,https://www.youtube.com/watch?v=_5PISzeRD2Q,44:12,2930,0,,2023/09/30
1/6-out of the gravity-,ぼーかりおどP,https://www.youtube.com/watch?v=_5PISzeRD2Q,55:12,3576,0,,2023/09/30
あなたクランケン,tamon,https://www.youtube.com/watch?v=dyEPsADq44g,13:07,997,0,,2023/10/08
ロウワー,ぬゆり,https://www.youtube.com/watch?v=dyEPsADq44g,21:33,1520,0,,2023/10/08
小学館,相対性理論,https://www.youtube.com/watch?v=dyEPsADq44g,1:06:11,4164,0,,2023/10/08
ヴィーナスとジーザス,やくしまるえつこ,https://www.youtube.com/watch?v=dyEPsADq44g,1:12:57,4564,0,,2023/10/08
星界ちゃんと可不ちゃんのおつかい合騒曲,南ノ南,https://www.youtube.com/watch?v=dyEPsADq44g,1:25:26,5330,0,,2023/10/08
カトラリー,有機酸,https://www.youtube.com/watch?v=dyEPsADq44g,1:34:39,5915,0,,2023/10/08
夜明けと蛍,N-buna,https://www.youtube.com/watch?v=dyEPsADq44g,1:45:13,6622,0,,2023/10/08
おくすり飲んで寝よう,もちうつね,https://www.youtube.com/watch?v=IU2E4Pr48n4,7:50,661,0,,2023/10/14
人マニア,原口沙輔,https://www.youtube.com/watch?v=IU2E4Pr48n4,16:51,1137,0,,2023/10/14
レゾンデートル頂戴,YM,https://www.youtube.com/watch?v=IU2E4Pr48n4,25:18,1735,0,,2023/10/14
ジェヘナ,wotaku,https://www.youtube.com/watch?v=IU2E4Pr48n4,32:18,2184,0,,2023/10/14
サボテンと蜃気楼,KNOTS,https://www.youtube.com/watch?v=IU2E4Pr48n4,40:50,2752,0,,2023/10/14
花ざかりWeekend✿,4Luxury,https://www.youtube.com/watch?v=IU2E4Pr48n4,54:00,3488,0,,2023/10/14
チェチェ・チェック・ワンツー！,和田たけあき,https://www.youtube.com/watch?v=IU2E4Pr48n4,1:11:59,4519,0,,2023/10/14
Happy Halloween,Junky,https://www.youtube.com/watch?v=IU2E4Pr48n4,1:22:57,5221,0,,2023/10/14
いーあーるふぁんくらぶ,みきとP,https://www.youtube.com/watch?v=IU2E4Pr48n4,1:57:37,7290,0,,2023/10/14
群青,YOASOBI,https://www.youtube.com/watch?v=xzqS-VflqLY,5:26,571,0,,2023/10/20
のろいのめか゛ね ～ stray girl in her lenses,ぶっちぎりP,https://www.youtube.com/watch?v=xzqS-VflqLY,15:58,1192,0,,2023/10/20
自分REST@RT,765PRO ALLSTARS,https://www.youtube.com/watch?v=xzqS-VflqLY,25:05,1847,0,,2023/10/20
君も悪い人で良かった,ピノキオピー,https://www.youtube.com/watch?v=xzqS-VflqLY,42:01,2905,0,,2023/10/20
てらてら,和田たけあき,https://www.youtube.com/watch?v=xzqS-VflqLY,56:23,3556,1,57:53あたりでグルってます😢,2023/10/20
チャイナアドバイス,相対性理論,https://www.youtube.com/watch?v=xzqS-VflqLY,1:06:40,4181,0,,2023/10/20
ニア,夏代孝明,https://www.youtube.com/watch?v=xzqS-VflqLY,1:45:21,6565,0,,2023/10/20
フォニィ,ツミキ,https://www.youtube.com/watch?v=xzqS-VflqLY,1:52:03,6911,0,,2023/10/20
君の知らない物語,supercell,https://www.youtube.com/watch?v=xzqS-VflqLY,1:58:49,7467,0,,2023/10/20
soundless voice,ひとしずく×やま△,https://www.youtube.com/watch?v=AvMWzO6uMt4,13:50,1140,0,,2023/10/27
ラグトレイン,稲葉曇,https://www.youtube.com/watch?v=AvMWzO6uMt4,35:39,2390,0,,2023/10/27
ボルテッカー,DECO*27,https://www.youtube.com/watch?v=AvMWzO6uMt4,42:38,2708,0,,2023/10/27
ビターチョコデコレーション,syudou,https://www.youtube.com/watch?v=AvMWzO6uMt4,59:47,3782,0,,2023/10/27
好き！雪！本気マジック,Mitchie M,https://www.youtube.com/watch?v=AvMWzO6uMt4,1:17:10,4828,0,,2023/10/27
なれのはて,梨本うい,https://www.youtube.com/watch?v=AvMWzO6uMt4,1:27:43,5575,0,,2023/10/27
阿修羅ちゃん,Ado,https://www.youtube.com/watch?v=AvMWzO6uMt4,1:37:47,6059,0,,2023/10/27
Alchemy,Girls Dead Monster,https://www.youtube.com/watch?v=AvMWzO6uMt4,1:53:44,7077,0,,2023/10/27
Shangri-la,angela,https://www.youtube.com/watch?v=AvMWzO6uMt4,2:09:11,8028,0,,2023/10/27
海色,AKINO with bless4,https://www.youtube.com/watch?v=AvMWzO6uMt4,2:25:01,8955,0,,2023/10/27
バグ,かいりきベア,https://www.youtube.com/watch?v=4GUroDP4uCI,20:00,1370,0,,2023/11/03
初めての恋が終わる時,supercell,https://www.youtube.com/watch?v=4GUroDP4uCI,46:10,3082,0,,2023/11/03
パズル,クワガタP,https://www.youtube.com/watch?v=4GUroDP4uCI,58:54,3787,0,,2023/11/03
from Y to Y,ジミーサムＰ,https://www.youtube.com/watch?v=4GUroDP4uCI,1:05:03,4232,0,,2023/11/03
ねむるまち,くじら,https://www.youtube.com/watch?v=4GUroDP4uCI,1:12:53,4568,0,,2023/11/03
君の脈で踊りたかった,ピコン,https://www.youtube.com/watch?v=4GUroDP4uCI,1:19:15,4996,0,,2023/11/03
siGrE,すずきP,https://www.youtube.com/watch?v=4GUroDP4uCI,1:27:51,5510,0,,2023/11/03
リグレットメッセージ,Mothy,https://www.youtube.com/watch?v=4GUroDP4uCI,1:40:40,6243,0,,2023/11/03
回る空うさぎ,Orangestar,https://www.youtube.com/watch?v=4GUroDP4uCI,1:47:32,6625,0,,2023/11/03
夜明けと蛍,N-buna,https://www.youtube.com/watch?v=4GUroDP4uCI,1:53:00,7087,0,,2023/11/03
夏と罰(上),傘村トータ,https://www.youtube.com/watch?v=gvkgok9N6Ss,2:33,376,0,,2023/11/10
君の神様になりたい。,カンザキイオリ,https://www.youtube.com/watch?v=gvkgok9N6Ss,14:37,1120,0,,2023/11/10
乙女解剖,DECO*27,https://www.youtube.com/watch?v=gvkgok9N6Ss,29:32,1993,0,,2023/11/10
帝国少女,R SoundDesign,https://www.youtube.com/watch?v=gvkgok9N6Ss,36:08,2422,0,,2023/11/10
どうしてちゃんのテーマ,ピノキオピー,https://www.youtube.com/watch?v=gvkgok9N6Ss,1:06:38,4179,0,,2023/11/10
少女レイ,みきとP,https://www.youtube.com/watch?v=gvkgok9N6Ss,1:36:55,6104,0,,2023/11/10
異星に行こうね,いよわ,https://www.youtube.com/watch?v=gvkgok9N6Ss,1:53:41,6987,0,,2023/11/10
マーシャルマキシマイザー,柊マグネタイト,https://www.youtube.com/watch?v=gvkgok9N6Ss,2:05:24,7686,0,,2023/11/10
水死体にもどらないで,いよわ,https://www.youtube.com/watch?v=5n5361Wh1ro,14:11,1076,0,,2023/11/17
雨とカプチーノ,ヨルシカ,https://www.youtube.com/watch?v=5n5361Wh1ro,28:37,1987,0,,2023/11/17
色彩,坂本真綾,https://www.youtube.com/watch?v=5n5361Wh1ro,45:47,3016,0,,2023/11/17
逆光,坂本真綾,https://www.youtube.com/watch?v=5n5361Wh1ro,52:02,3407,0,,2023/11/17
トリノコシティ,40㍍P,https://www.youtube.com/watch?v=5n5361Wh1ro,1:14:08,4649,0,,2023/11/17
ドミノ倒シ,すこっぷ,https://www.youtube.com/watch?v=5n5361Wh1ro,1:21:35,5086,0,,2023/11/17
骸骨楽団とリリア,トーマ,https://www.youtube.com/watch?v=5n5361Wh1ro,1:35:53,5951,0,,2023/11/17
clock lock works,ハチ,https://www.youtube.com/watch?v=5n5361Wh1ro,1:44:51,6551,0,,2023/11/17
落日,東京事変,https://www.youtube.com/watch?v=5n5361Wh1ro,2:22:21,8801,0,,2023/11/17
水死体にもどらないで,いよわ,https://www.youtube.com/watch?v=-tI31AL6eYU,10:59,884,0,,2023/12/02
クーネル・エンゲイザー,電ǂ鯨,https://www.youtube.com/watch?v=-tI31AL6eYU,18:54,1361,0,,2023/12/02
メルティランドナイトメア,はるまきごはん,https://www.youtube.com/watch?v=-tI31AL6eYU,31:24,2147,0,,2023/12/02
ロウワー,ぬゆり,https://www.youtube.com/watch?v=-tI31AL6eYU,41:41,2727,0,,2023/12/02
ホワイトハッピー,MARETU,https://www.youtube.com/watch?v=-tI31AL6eYU,50:28,3253,0,,2023/12/02
ハロ/ハワユ,ナノウ,https://www.youtube.com/watch?v=-tI31AL6eYU,1:06:29,4267,0,,2023/12/02
ヒト（リ）ゴト,KEI,https://www.youtube.com/watch?v=-tI31AL6eYU,1:19:43,5043,0,,2023/12/02
お願い！シンデレラ(GAME ver),CINDERELLA PROJECT,https://www.youtube.com/watch?v=T6PCNXVZcoI,12:30,871,0,,2023/12/08
僕らのLIVE 君とのLIFE,μ’s,https://www.youtube.com/watch?v=T6PCNXVZcoI,18:40,1437,0,,2023/12/08
M@GIC☆,CINDERELLA PROJECT,https://www.youtube.com/watch?v=T6PCNXVZcoI,26:27,1863,0,,2023/12/08
Snow halation,μ’s,https://www.youtube.com/watch?v=T6PCNXVZcoI,34:05,2297,0,,2023/12/08
